Date,PriceUSD
2021-01-06,1969.06090003105
2021-01-07,1965.21123332744
2021-01-08,1899.43893355881
2021-01-09,1906.0851244886
2021-01-10,1884.88773897814
2021-01-11,1854.61685123854
2021-01-12,1863.88739900899
2021-01-13,1862.59201081533
2021-01-14,1869.54043931235
2021-01-15,1842.30351518478
2021-01-16,1850.67330683811
2021-01-17,1844.37327527762
2021-01-18,1863.88319873082
2021-01-19,1852.77135534775
2021-01-20,1883.9060212324
2021-01-21,1887.46212973012
2021-01-22,1866.59373361167
2021-01-23,1868.78216747259
2021-01-24,1891.07422745813
2021-01-25,1864.87194487627
2021-01-26,1867.81839520121
2021-01-27,1851.45801242562
2021-01-28,1859.41924558435
2021-01-29,1868.84508652311
2021-01-30,1870.38392731684
2021-01-31,1881.29042963583
2021-02-01,1867.50572924806
2021-02-02,1852.48996062398
2021-02-03,1849.07750674582
2021-02-04,1811.50920752544
2021-02-05,1831.54164738669
2021-02-06,1836.97602774519
2021-02-07,1845.15422695878
2021-02-08,1849.87824174245
2021-02-09,1858.40717084204
2021-02-10,1857.41324198269
2021-02-11,1840.41152519813
2021-02-12,1844.18973106643
2021-02-13,1851.42868515517
2021-02-14,1844.19880395714
2021-02-15,1836.45866594505
2021-02-16,1815.49400293319
2021-02-17,1798.33581535629
2021-02-18,1798.95907371178
2021-02-19,1807.71783206251
2021-02-20,1820.05027282856
2021-02-21,1816.25315474843
2021-02-22,1824.22787005463
2021-02-23,1818.76710573022
2021-02-24,1812.960852619
2021-02-25,1774.52093523379
2021-02-26,1748.21752484097
2021-02-27,1749.07010270914
2021-02-28,1747.11313846822
2021-03-01,1729.49399523041
2021-03-02,1752.0938138877
2021-03-03,1721.30517460369
2021-03-04,1707.39603933445
2021-03-05,1708.24639740377
2021-03-06,1717.01496220789
2021-03-07,1721.91236743833
2021-03-08,1704.3871964233
2021-03-09,1731.44836266878
2021-03-10,1740.19914230222
2021-03-11,1741.96342128479
2021-03-12,1743.37388135379
2021-03-13,1747.60422160442
2021-03-14,1738.52281146554
2021-03-15,1737.43282159831
2021-03-16,1743.37257988072
2021-03-17,1761.79426860395
2021-03-18,1742.3416674576
2021-03-19,1758.04656193378
2021-03-20,1758.02708694437
2021-03-21,1749.550545373
2021-03-22,1743.84269350489
2021-03-23,1739.8839443093
2021-03-24,1737.08103151423
2021-03-25,1728.79320186992
2021-03-26,1742.09400665605
2021-03-27,1735.24918980859
2021-03-28,1746.73851394739
2021-03-29,1724.29823221591
2021-03-30,1700.21828814825
2021-03-31,1715.90905828028
2021-04-01,1740.45423296145
2021-04-02,1738.4283682249
2021-04-03,1735.78592831311
2021-04-04,1745.41022325339
2021-04-05,1743.16255053833
2021-04-06,1755.68383721244
2021-04-07,1752.05979714853
2021-04-08,1768.47480518428
2021-04-09,1749.88262640185
2021-04-10,1756.15713567939
2021-04-11,1755.58778131507
2021-04-12,1746.57823362291
2021-04-13,1752.01091624281
2021-04-14,1750.0504874908
2021-04-15,1773.87664082945
2021-04-16,1792.26543900317
2021-04-17,1794.48342009348
2021-04-18,1802.74683987412
2021-04-19,1786.44355956838
2021-04-20,1792.1122118669
2021-04-21,1811.65356168403
2021-04-22,1799.88428679932
2021-04-23,1803.0926653254
2021-04-24,1791.04045936972
2021-04-25,1785.32825927966
